eps_c,eps_T_PM,eps_d10,eps_d50,eps_d90,eps_T_TM
-0.00016462803,-0.12487793,-1.2828677e-06,-1.2635428e-06,-1.5951518e-06,-0.06762695
-0.00012457371,-0.12045288,-1.2602541e-06,-6.3618063e-07,-9.154028e-07,-0.06137085
-0.00010766089,-0.12719727,-1.2673554e-06,-1.2835371e-06,-1.601933e-06,-0.07052612
-0.000150159,-0.12234497,-1.4602556e-06,-1.965731e-06,-2.2909371e-06,-0.06442261
-0.00016245246,-0.22644043,-2.095505e-06,-2.7187634e-06,-1.5936967e-06,-0.0664978
-0.00018107891,-0.119903564,-1.7672428e-06,-2.36684e-06,-9.2579285e-07,-0.060638428
-0.0005208105,-0.029693604,-1.1454395e-06,-1.1767552e-06,-1.1531811e-06,-0.013122559
-0.00064843893,-0.022064209,-6.4159394e-07,-1.1123484e-06,-9.9311e-07,-0.032043457
-0.0007301271,-0.057617188,-1.0042568e-06,-1.6828126e-06,-8.92207e-07,-0.07119751
-0.0007827133,-0.054656982,-1.4652906e-06,-2.35677e-06,-1.0582444e-06,-0.071502686
-0.00083328784,-0.051971436,-1.3448007e-06,-1.9636936e-06,-1.1396187e-06,-0.07110596
-0.0009559691,-0.018005371,-1.9561267e-06,-1.6973063e-06,-7.9072197e-07,-0.020599365
-0.0007043481,0.015319824,-1.305365e-06,-2.2653257e-06,5.203183e-07,0.021728516
3.7550926e-06,-0.025238037,-8.929346e-07,-4.3114414e-07,-2.9892544e-07,-0.02722168
-2.4870038e-05,-0.02017212,-9.1732363e-07,-8.556526e-07,-2.0454172e-07,-0.021636963
-7.224083e-05,-0.03427124,-1.894834e-06,-4.6376954e-07,5.5049895e-07,-0.038116455
-3.0875206e-05,-0.027435303,-2.8590148e-06,5.825714e-07,3.8032886e-07,-0.030456543
8.3073974e-05,-0.025817871,-1.2218952e-06,3.479945e-07,-2.2648601e-07,-0.029815674
0.00012207031,-0.019561768,4.2672036e-07,-3.4691766e-08,-1.8122955e-07,-0.02355957
7.343292e-05,-0.02243042,-1.6920967e-07,-6.481423e-08,6.2581967e-07,-0.0262146
3.7819147e-05,-0.022857666,-8.2107726e-07,-2.917077e-07,8.9389505e-07,-0.026550293
2.387166e-05,-0.020904541,-8.8021625e-07,-3.5850098e-07,4.9735536e-07,-0.024902344
